index,rank,match%,avscd,reganroi,movecount,sc,gm,rating,sourcefile,startdate,enddate
0,4718,61.9,0.047,62.3,215,7,9,2465,CCCSAFallGM2020cat8_SF11d20-30pv1.sc4,10/5/2020,10/5/2020
1,8815,64,0.072,60.4,222,5.5,7,2478,SunwaySitgesDec2020Avail_SF11d20-30pv1.sc4,12/23/2020,12/23/2020
2,9649,55.4,0.067,60.2,202,4.5,6,2687,Coinbase24G12RapidKO07Aug2022_SF11d20-30pv1.sc4,8/7/2022,8/7/2022
3,10464,63.6,0.064,59.9,239,5,7,2564,ChicagoOpenICC2050G100Oct2020_SF11d20-30pv1.sc4,10/11/2020,10/11/2020
4,12262,62.9,0.059,59.4,291,4,7,2642,Bundesliga2022_SF11d20-30pv1.sc4,7/7/2022,7/7/2022
5,12344,70.5,0.087,59.4,237,6.5,9,2637,ReykjavikOpenApr2022_SF11d20-30pv1.sc4,4/12/2022,4/12/2022
6,13709,54.5,0.134,59.1,321,7.5,10,2465,ChessComTitledTuesdayBlitz28July04Aug2020_SF11d20-30pv1.sc4,8/4/2020,8/4/2020
8,20331,63.9,0.079,57.9,249,6,8,2567,PhiladelphiaInternationalJune2021Avail_SF11d20-30pv1.sc4,6/28/2021,6/28/2021
9,21984,59.1,0.1,57.6,362,6.5,12,2624,CharityCupPrelimsG25RapidMar2022_SF11d20-30pv1.sc4,3/26/2022,3/26/2022
10,22513,53.5,0.135,57.5,271,8.5,10,2465,ChessComTitledTuesdayBlitz16June2020_SF11d20-30pv1.sc4,6/16/2020,6/16/2020
11,31644,52.1,0.125,56.4,605,12.5,21,2645,WchBlitzDec2021_SF11d20-30pv1.sc4,12/30/2021,12/30/2021
12,33268,58.6,0.067,56.2,186,6,9,2526,BassanoGMMixMar2021Avail_SF11d20-30pv1.sc4,3/28/2021,3/28/2021
13,34100,60.1,0.067,56.1,353,5.5,11,2638,FIDEGrandSwissOct2021_SF11d20-30pv1.sc4,11/8/2021,11/8/2021
14,34171,53.9,0.122,56.1,319,7,11,2680,WchBlitzDec2021day1_SF11d20-30pv1.sc4,12/30/2021,12/30/2021
15,34704,63.4,0.059,56,164,3.5,5,2688,SinquefieldCupSep2022cat21_SF11d20-30pv1.sc4,9/13/2022,9/13/2022
